Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Maroon 5,Payphone ,559,1814332,Chords,intermediate,Db, 4th fret, E A D G B E
Budi Doremi,Tolong,186,1805514,Chords,intermediate, A,No Capo, E A D G B E
Eagles,Hotel California ,"4,566",1804447,Chords,novice, A, 2nd fret, E A D G B E
Radiohead,No Surprises,"1,980",1803897,Chords,intermediate, F, 3rd fret, E A D G B E
This Band,Kahit Ayaw Mo Na,487,1799898,Chords,novice, D,No Capo, E A D G B E
Blink-182,Dammit,872,1795662,Tab,novice, C,No Capo, E A D G B E
The Smiths,There Is A Light That Never Goes Out,"1,406",1790828,Chords,intermediate, B, 4th fret, E A D G B E
Wiz Khalifa,See You Again ,598,1790394,Chords,intermediate, Em, 3rd fret,E A D G B E
Cyndi Lauper,Time After Time ,685,1789485,Chords,intermediate, F,No Capo, E A D G B E
Ed Sheeran,Photograph Intro ,"1,944",1787745,Tab,intermediate, C, 4th fret, E A D G B E
Kansas,Dust In The Wind ,"4,759",1782720,Chords,novice, C,No Capo, E A D G B E
Counting Crows,Accidentally In Love,"2,202",1782630,Chords,intermediate,Db,No Capo, E A D G B 
Green Day,Basket Case,442,1778467,Tab,intermediate,Db,No Capo, Eb Ab Db Gb Bb E
Enrique Iglesias,Hero ,"1,159",1775426,Chords,novice, G,No Capo, E A D G B E
Maroon 5,Girls Like You,"1,606",1774881,Chords,novice, C,No Capo, E A D G B E
The Rolling Stones,Paint It Black,"2,084",1774191,Chords,novice, Em,No Capo, E A D G B E
Justin Timberlake,Mirrors ,679,1770785,Chords,novice,Db, 1st fret, E A D G B E
The Chainsmokers,Closer ,"1,158",1770489,Chords,intermediate, C,No Capo, E A D G B E
Bing Crosby,White Christmas,"1,590",1767579,Chords,intermediate, G,No Capo, E A D G B E
All Time Low,Remembering Sunday,642,1765620,Chords,intermediate,Db, 2nd fret,E A D G B E
Eraserheads,Ang Huling El Bimbo,568,1765748,Chords,intermediate, G,No Capo,E A D G B E
Sublime,Santeria ,590,1762062,Tab,intermediate,Db,No Capo, E A D G B 
Miley Cyrus,We Cant Stop ,542,1760485,Chords,novice,Db, 4th fret, E A D G B E
Jack Johnson,Better Together ,511,1759884,Chords,intermediate,Db, 3rd fret, E A D G B E
Nirvana,About A Girl Acoustic,"1,069",1759195,Chords,intermediate, Em,No Capo, E A D G B E
Sheryl Crow,Sweet Child O Mine,541,1758686,Chords,intermediate, D,No Capo, E A D G B E
Tom Odell,Another Love,"1,355",1758720,Chords,novice, Em,No Capo, E A D G B E
Adele,Hello ,"2,585",1757925,Chords,novice, Em, 1st fret, E A D G B E
Rihanna,We Found Love,597,1753963,Chords,intermediate, F, 6th fret, E A D G B E
ZZ Top,Sharp Dressed Man,128,1753377,Tab,intermediate, Cm,No Capo, E A D G B E
Cory Asbury,Reckless Love ,"3,622",1752150,Chords,intermediate, Em,No Capo, Eb Ab Db Gb Bb Eb
Rivermaya,Kisapmata,275,1749477,Chords,intermediate, D,No Capo,E A D G B E
Hozier,Take Me To Church,990,1741763,Chords,intermediate, Em,No Capo, E A D G B E
Meghan Trainor,All About That Bass,531,1740855,Chords,novice, A,No Capo, E A D G B E
Simple Plan,Welcome To My Life,879,1739271,Chords,intermediate, Db, 1st fret, E A D G B E
Bon Jovi,Wanted Dead Or Alive ,"1,104",1738780,Chords,intermediate,Db,No Capo, E A D G B 
Evanescence,My Immortal Acoustic,833,1735990,Chords,intermediate,Db,No Capo, E A D G B 
Eraserheads,Pare Ko,272,1735894,Chords,intermediate, G,No Capo, E A D G B E
Nirvana,Come As You Are,407,1735052,Chords,intermediate,Db,No Capo, D G C F A 
The Beatles,Youve Got To Hide Your Love Away ,"1,594",1733846,Chords,intermediate, G,No Capo, E A D G B E
Oasis,Half The World Away ,"2,043",1732471,Chords,novice, C,No Capo, E A D G B E
Alex & Sierra,Little Do You Know,"1,982",1727932,Chords,novice, Am,No Capo, E A D G B E
John Lennon,Imagine ,"1,187",1726726,Chords,intermediate, C,No Capo,E A D G B E
The Police,Every Breath You Take ,387,1726263,Chords,intermediate, Ab,No Capo, Eb Ab Db Gb Bb Eb
Bon Jovi,Bed Of Roses,846,1726091,Chords,novice, F,No Capo, E A D G B E
Maroon 5,Sugar ,604,1725746,Chords,intermediate, Db, 1st fret, E A D G B E
Backstreet Boys,I Want It That Way ,"1,822",1724703,Chords,intermediate, F#m, 2nd fret, E A D G B E
Daniel Caesar,Best Part ,177,1722123,Chords,novice, D,No Capo, E A D G B E
December Avenue,Kung Di Rin Lang Ikaw,474,1721247,Chords,intermediate, E,No Capo, E A D G B E
Blink-182,Whats My Age Again,497,1719251,Tab,intermediate, Gb,No Capo, E A D G B E
Bill Withers,Lean On Me,"2,861",1719343,Chords,intermediate, C,No Capo, E A D G B E
Billy Joel,Piano Man ,"2,941",1719300,Chords,intermediate, C,No Capo, E A D G B E
The Beatles,Day Tripper,687,1714039,Tab,intermediate, A,No Capo, E A D G B E
Misc Soundtrack,The Wizard Of Oz - Somewhere Over The Rainbow,310,1711592,Chords,intermediate, C,No Capo, E A D G B E
Sublime,Santeria,"1,815",1706744,Chords,intermediate,Db,No Capo, E A D G B 
My Chemical Romance,I Dont Love You,795,1706142,Chords,intermediate, C,No Capo, E A D G B E
Eric Clapton,Tears In Heaven ,"1,398",1705684,Chords,intermediate, A, 2nd fret, E A D G B E
Blue Öyster Cult,Dont Fear The Reaper ,769,1705574,Tab,intermediate, Am,No Capo, E A D G B E
Red Hot Chili Peppers,Otherside ,511,1704252,Tab,intermediate,Db,No Capo, E A D G B 
Bon Iver,I Cant Make You Love Me,793,1700193,Chords,novice, F,No Capo, E A D G B E
AC/DC,Hells Bells ,616,1699381,Tab,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,Harry Potter - Hedwigs Theme Intro ,"1,092",1698733,Tab,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Crazier ,820,1697955,Chords,intermediate,Db, 2nd fret, E A D G B E
Paolo Nutini,Candy,"1,284",1696018,Chords,intermediate, Am,No Capo, E A D G B E
Tones And I,Dance Monkey,"1,615",1691859,Chords,intermediate, F#m,No Capo, E A D G B E
John Mayer,Slow Dancing In A Burning Room ,"1,260",1688013,Chords,intermediate, C#m,No Capo, E A D G B E
Fool's Garden,Lemon Tree,969,1686008,Chords,intermediate, Fm, 1st fret, E A D G B E
Ed Sheeran,Im A Mess,"1,477",1685266,Chords,novice, Cm, 3rd fret, E A D G B E
twenty one pilots,House Of Gold,"3,299",1683105,Chords,intermediate, C,No Capo, E A D G B E
Fiersa Besari,April,62,1674069,Chords,intermediate, D,No Capo, E A D G B E
Ronan Keating,When You Say Nothing At All ,"1,233",1673966,Chords,novice, G,No Capo, E A D G B E
Kevin Devine,You Are My Sunshine,216,1671613,Chords,intermediate, A,No Capo,E A D G B E
Plain White T's,Hey There Delilah ,"2,399",1666682,Chords,novice, D, 2nd fret, E A D G B E
Misc Cartoons,Aladdin - A Whole New World ,801,1666110,Chords,intermediate, C,No Capo, E A D G B E
Howie Day,Collide,202,1664862,Chords,intermediate,Db, 4th fret, E A D G B E
Taylor Swift,All Too Well,"2,409",1664588,Chords,novice, C,No Capo, E A D G B E
Tamia,Officially Missing You,159,1662567,Chords,intermediate,Db,No Capo, E A D G B 
Taio Cruz,Dynamite,395,1662387,Chords,novice,Db, 4th fret,E A D G B E
Neutral Milk Hotel,In The Aeroplane Over The Sea,"2,236",1662069,Chords,intermediate, G,No Capo, E A D G B E
Bob Dylan,The Times They Are A-Changin,"3,139",1661422,Chords,intermediate, G,No Capo, E A D G B E
Rihanna,Take A Bow,529,1658771,Chords,intermediate,Db, 4th fret, E A D G B E
Lord Huron,The Night We Met,"4,338",1659470,Chords,novice, F#m, 2nd fret, E A D G B E
Up Dharma Down,Tadhana ,132,1658660,Chords,novice, G, 4th fret, E A D G B E
Taylor Swift,Breathe ,916,1657132,Chords,novice,Db,No Capo, E A D G B 
Taylor Swift,Sparks Fly,730,1652229,Chords,novice,Db, 5th fret, E A D G B E
Lynyrd Skynyrd,Sweet Home Alabama,241,1651438,Tab,intermediate, D,No Capo, E A D G B E
Housefires,Good Good Father,"1,043",1649229,Chords,novice, G, 2nd fret, E A D G B E
Celine Dion,My Heart Will Go On ,689,1643541,Chords,intermediate, D, 2nd fret,E A D G B E
Kansas,Carry On Wayward Son ,695,1642877,Tab,intermediate, Am,No Capo, E A D G B E
Parokya ni Edgar,Gitara,172,1642864,Chords,intermediate,Db,No Capo, E A D G B 
Misc Cartoons,Tangled - I See The Light,965,1642513,Chords,intermediate, C,No Capo, E A D G B E
Yes,Roundabout,59,1641919,Bass,intermediate,Db,No Capo,E A D G B E
Kelly Clarkson,Because Of You,265,1641068,Chords,intermediate,Db, 1st fret, E A D G B E
David Bowie,Starman ,"2,372",1637974,Chords,intermediate, Gm,No Capo, E A D G B E
Frank Sinatra,Fly Me To The Moon ,486,1637955,Chords,novice, Am,No Capo, E A D G B E
Anne-Marie,2002,"1,417",1634223,Chords,novice, E, 2nd fret, E A D G B E
Demi Lovato,Stone Cold,"1,746",1632764,Chords,intermediate, C, 1st fret, E A D G B E
Pearl Jam,Last Kiss,"2,952",1632704,Chords,intermediate,Db,No Capo, E A D G B 
Prince,Purple Rain,639,1631943,Chords,intermediate, Bb,No Capo, E A D G B E
James Bay,Hold Back The River,"1,185",1631440,Chords,intermediate, Dm,No Capo, E A D G B E
The Red Jumpsuit Apparatus,Your Guardian Angel ,657,1629347,Chords,novice, F,No Capo, E A D G B E
Rihanna,Umbrella,896,1629116,Chords,intermediate, Bb, 1st fret, E A D G B E
Katy Perry,Thinking Of You,98,1628216,Chords,novice,Db,No Capo,E A D G B E
System of a Down,Aerials,858,1627234,Tab,intermediate, Cm,No Capo, C G C F A D
Cee Lo Green,Fuck You,527,1626731,Chords,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Safe And Sound,390,1626077,Tab,intermediate,Db, 7th fret, E A D G B E
Lewis Capaldi,Before You Go,"2,606",1627821,Chords,novice, Eb, 1st fret, E A D G B E
Lana Del Rey,Blue Jeans,"1,414",1623155,Chords,novice,Db, 1st fret, E A D G B E
Taylor Swift,Enchanted ,866,1621985,Chords,intermediate,Db, 1st fret, E A D G B E
Dixie Chicks,Landslide,"1,286",1617532,Chords,intermediate,Db, 7th fret, E A D G B E
Lady Gaga,Born This Way ,404,1615154,Chords,novice, F#, 2nd fret, E A D G B E
Metallica,The Day That Never Comes ,547,1613762,Tab,advanced,Db,No Capo,E A D G B E
ZZ Top,La Grange,80,1607988,Tab,intermediate,Db,No Capo, E A D G B 
Nirvana,The Man Who Sold The World ,347,1607153,Chords,intermediate, A,No Capo, Eb Ab Db Gb Bb Eb
twenty one pilots,Heathens,"2,222",1606280,Chords,novice, Am,No Capo, E A D G B E
Elvis Presley,Suspicious Minds,"1,631",1604917,Chords,intermediate, G,No Capo, E A D G B E
Secondhand Serenade,Your Call,259,1602024,Tab,intermediate,Db,No Capo, E A D G B 
Orange and Lemons,Hanggang Kailan,109,1596197,Chords,intermediate, F,No Capo,E A D G B E
Ed Sheeran,Dive ,702,1594205,Chords,novice, C, 4th fret, E A D G B E
Train,Drive By ,358,1592755,Chords,intermediate,Db,No Capo, E A D G B 
Led Zeppelin,Stairway To Heaven Intro,796,1592358,Tab,intermediate,Db,No Capo, E A D G B 
Eric Clapton,Layla Acoustic Live ,"1,962",1590718,Chords,intermediate, Dm,No Capo, E A D G B E
Westlife,I Lay My Love On You,49,1587950,Chords,intermediate,Db,No Capo,E A D G B E
Van Morrison,Brown Eyed Girl ,"5,858",1585122,Chords,novice, G,No Capo, E A D G B E
Three Days Grace,Never Too Late,294,1581151,Tab,novice, Bbm,No Capo, D A D G B E
Taylor Swift,Fearless ,627,1580029,Chords,intermediate,Db, 3rd fret, E A D G B E
ZZ Top,La Grange ,346,1579440,Tab,intermediate,Db,No Capo, E A D G B 
Taylor Swift,Forever And Always,750,1578884,Chords,intermediate,Db, 3rd fret, E A D G B E
Rihanna,California King Bed,222,1578188,Chords,novice,Db,No Capo, E A D G B 
Muse,Plug In Baby ,716,1577641,Tab,intermediate,Db,No Capo,E A D G B E
Damien Rice,9 Crimes ,"1,285",1576120,Chords,novice,Db,No Capo,E A D G B E
Secondhand Serenade,Your Call,164,1574276,Chords,intermediate,Db,No Capo,E A D G B E
twenty one pilots,Stressed Out,"1,745",1571809,Chords,novice, Am,No Capo, E A D G B E
Wheatus,Teenage Dirtbag,217,1571124,Tab,intermediate, E,No Capo,E A D G B E
Billie Eilish,Wish You Were Gay Acoustic,"4,379",1570839,Chords,intermediate, Am,No Capo, E A D G B E
Foster the People,Pumped Up Kicks Acoustic,"1,120",1569292,Chords,novice, Bm, 7th fret, E A D G B E
The Red Jumpsuit Apparatus,Your Guardian Angel ,239,1567073,Chords,intermediate,Db,No Capo,E A D G B E
John Lennon,Stand By Me,497,1563364,Chords,intermediate, A, 2nd fret, E A D G B E
Metallica,Nothing Else Matters ,"1,934",1563336,Guitar Pro,novice, Em,No Capo, E A D G B E
Ed Sheeran,Drunk,786,1560384,Chords,novice, G,No Capo, E A D G B E
Ray Charles,Hit The Road Jack,946,1560534,Chords,intermediate, Am,No Capo, E A D G B E
One Direction,One Thing,544,1557605,Chords,novice, D, 2nd fret, E A D G B E
Elvis Presley,Love Me Tender,585,1556385,Chords,intermediate,Db,No Capo, E A D G B 
Joe Walsh,Lifes Been Good,75,1556006,Tab,intermediate,Db,No Capo,E A D G B E
Britney Spears,Baby One More Time,"1,005",1556006,Chords,intermediate, Cm, 3rd fret, E A D G B E
Alex Clare,Too Close,944,1555576,Chords,intermediate,Db,No Capo,E A D G B E
Avenged Sevenfold,So Far Away ,271,1553819,Chords,intermediate,Db,No Capo, E A D G B 
Beyoncé,Halo,436,1544713,Chords,intermediate,Db,No Capo,E A D G B E
Shontelle,Impossible,367,1543499,Chords,novice,Db, 1st fret, E A D G B E
Neil Young,Down By The River,115,1542321,Tab,intermediate,Db,No Capo, E A D G B 
Johnny Cash,I Walk The Line,658,1542331,Chords,intermediate, Bb, 1st fret, E A D G B E
Oasis,Champagne Supernova,183,1542555,Chords,intermediate, A,No Capo, E A D G B E
Miley Cyrus,When I Look At You ,645,1541085,Chords,intermediate, Ebm, 1st fret, E A D G B E
Arijit Singh,Tum Hi Ho,365,1540657,Chords,novice, Fm, 1st fret, E A D G B E
Howie Day,Collide,529,1539537,Tab,intermediate,Db, 4th fret,E A D G B E
Nick Jonas,Introducing Me,"1,050",1539192,Chords,novice,Db, 4th fret, E A D G B E
Led Zeppelin,Stairway To Heaven ,952,1535114,Chords,intermediate, Am,No Capo, E A D G B E
Ed Sheeran,Give Me Love ,148,1533805,Chords,intermediate, Am, 1st fret, E A D G B E
Van Morrison,Brown Eyed Girl ,643,1532512,Chords,intermediate,Db,No Capo, E A D G B 
Misc Traditional,Spanish Romance ,979,1532493,Tab,intermediate, Em,No Capo, E A D G B E
The Beatles,A Day In The Life ,"2,418",1529839,Chords,intermediate, G,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine ,"1,553",1529376,Guitar Pro,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Alanis Morissette,Ironic,"1,735",1529306,Chords,novice, E,No Capo,E A D G B E
The Fray,Over My Head ,878,1528311,Chords,intermediate, Db, 1st fret, E A D G B E
Rivermaya,214,334,1524878,Chords,intermediate, G,No Capo, E A D G B E
Hillsong Worship,Mighty To Save ,502,1523818,Chords,intermediate,Db, 2nd fret, E A D G B E
Pearl Jam,Yellow Ledbetter ,502,1522833,Tab,intermediate,Db,No Capo,E A D G B E
Rivermaya,Hinahanap-Hanap Kita,193,1521096,Chords,intermediate,Db,No Capo, E A D G B 
Michael Bublé,Everything,367,1516528,Chords,novice,Db,No Capo, E A D G B 
Elton John,Rocket Man,"2,912",1516172,Chords,intermediate, Gm, 3rd fret, E A D G B E
Naif,Benci Untuk Mencinta ,44,1514982,Chords,intermediate, D,No Capo, E A D G B E
Simon & Garfunkel,Mrs Robinson,699,1510361,Chords,intermediate, A, 2nd fret, E A D G B E
Eagles,Hotel California ,330,1509573,Tab,intermediate,Db,No Capo,E A D G B E
Paolo Nutini,Last Request,"1,438",1509559,Chords,intermediate,Db, 3rd fret, E A D G B E
Ariana Grande,Almost Is Never Enough ,216,1509490,Chords,novice, D,No Capo, E A D G B E
Lifehouse,You And Me,464,1505027,Tab,novice,Db,No Capo,E A D G B E
Lifehouse,You And Me ,"1,476",1505107,Chords,novice,Db,No Capo, E A D G B 
Westlife,More Than Words,193,1503488,Chords,novice, C,No Capo, Eb Ab Db Gb Bb Eb
Elevation Worship,O Come To The Altar,"3,427",1502684,Chords,novice, B, 4th fret, E A D G B E
Arctic Monkeys,Do I Wanna Know Acoustic ,"1,934",1501916,Chords,novice, Gm, 3rd fret, E A D G B E
The Beatles,Here Comes The Sun,429,1500967,Chords,intermediate, A, 7th fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,463,1499337,Tab,intermediate, D,No Capo, E A D G B E
System of a Down,Byob ,590,1498055,Tab,intermediate,Db,No Capo, Db Ab Db Gb Bb E
Simon & Garfunkel,The Sound Of Silence ,705,1497588,Chords,intermediate, Ebm, 6th fret,E A D G B E
Neil Young,Harvest Moon Album,34,1495669,Chords,intermediate,Db,No Capo,E A D G B E
Eagles,Lyin Eyes,"2,961",1490357,Chords,novice, G,No Capo, E A D G B E
Pink Floyd,Wish You Were Here ,"2,383",1490060,Chords,intermediate, G,No Capo, E A D G B E
near (Indonesia),Karna Su Sayang,144,1487052,Chords,intermediate, C,No Capo, E A D G B E
Paramore,Still Into You ,"1,264",1484150,Chords,novice, F, 5th fret, E A D G B E
Foo Fighters,Everlong ,471,1483884,Tab,intermediate,Db,No Capo,E A D G B E
Side A,Forevermore,164,1482392,Chords,novice,Db,No Capo, E A D G B 
3 Doors Down,Here Without You ,"1,501",1481503,Chords,intermediate, Bbm,No Capo, Eb Ab Db Gb Bb Eb
Luis Fonsi,Despacito ,148,1479613,Chords,intermediate, Abm, 7th fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,726,1477723,Chords,novice, D,No Capo, E A D G B E
LP,Lost On You,"1,466",1475256,Chords,novice, A#m, 1st fret, E A D G B E
Queen,We Are The Champions,380,1472586,Chords,intermediate, Cm,No Capo, E A D G B E
Bon Jovi,Always,223,1469330,Chords,intermediate,Db,No Capo, E A D G B 
Soul Asylum,Runaway Train,"2,129",1468028,Chords,intermediate, C,No Capo, E A D G B E
MGMT,Kids,375,1466889,Chords,intermediate,Db,No Capo, E A D G B 
Misc Soundtrack,The Greatest Showman - Rewrite The Stars ,888,1465470,Chords,novice, Bb, 3rd fret, E A D G B E
Queen,Bohemian Rhapsody,74,1464783,Tab,intermediate, Bb,No Capo, E A D G B E
Milow,You Dont Know,346,1463095,Chords,intermediate,Db, 4th fret,E A D G B E
Rihanna,Fourfiveseconds ,477,1461132,Chords,novice,Db,No Capo, E A D G B 
Emeli Sandé,Read All About It Part Iii,239,1460108,Chords,novice,Db,No Capo, E A D G B 
Smash Mouth,All Star,"1,661",1456727,Chords,intermediate, F#,No Capo, Eb Ab Db Gb Bb Eb
Red Hot Chili Peppers,Snow Hey Oh,"1,069",1455270,Chords,intermediate, Abm, 4th fret, E A D G B E
ZZ Top,La Grange,54,1454374,Bass,intermediate,Db,No Capo,E A D G B E
Bob Dylan,Blowin In The Wind ,231,1454198,Chords,intermediate,Db,No Capo,E A D G B E
Sara Bareilles,Love Song,259,1453321,Chords,intermediate,Db,No Capo, E A D G B 
Dewa 19,Risalah Hati,66,1452793,Chords,novice, Am,No Capo, E A D G B E
Oasis,Champagne Supernova ,899,1452346,Chords,intermediate,Db,No Capo,E A D G B E
Slipknot,Psychosocial,174,1451376,Tab,intermediate,Db,No Capo, A E A D F# 
Lynyrd Skynyrd,Sweet Home Alabama,855,1449989,Chords,novice, D,No Capo, E A D G B E
Katy Perry,The One That Got Away ,712,1449120,Chords,novice, E, 4th fret, E A D G B E
Foo Fighters,The Pretender,628,1446989,Tab,intermediate,Db,No Capo,E A D G B E
ZZ Top,Cheap Sunglasses,30,1446693,Tab,intermediate,Db,No Capo, E A D G B 
Jason Mraz,I Wont Give Up,52,1446632,Tab,intermediate,Db, 2nd fret,E A D G B E
Boston,More Than A Feeling,514,1446604,Chords,intermediate, G,No Capo, E A D G B E
Jireh Lim,Buko,80,1443514,Chords,intermediate,Db,No Capo,E A D G B E
ZZ Top,Waitin For The Bus,17,1442989,Tab,intermediate,Db,No Capo, E A D G B 
Bon Jovi,Wanted Dead Or Alive,401,1440378,Tab,intermediate,Db,No Capo,E A D G B E
ZZ Top,Sharp Dressed Man,49,1439592,Bass,intermediate,Db,No Capo, E A D 
The Beatles,If I Fell,"1,267",1437995,Chords,intermediate, Ebm,No Capo, E A D G B E
One Direction,History,639,1435107,Chords,intermediate, Gb, 1st fret, E A D G B E
Jesus Culture,One Thing Remains,709,1434066,Chords,novice,Db, 4th fret,E A D G B E
Boys Like Girls,Thunder ,142,1432738,Chords,intermediate,Db,No Capo,E A D G B E
The Cranberries,Zombie ,89,1432376,Tab,intermediate, Em,No Capo,E A D G B E
Hillsong United,Lead Me To The Cross,571,1431878,Chords,intermediate,Db,No Capo, E A D G B 
Neil Young,The Needle And The Damage Done,40,1428513,Tab,intermediate,Db,No Capo,E A D G B E
The Band Perry,If I Die Young ,"1,204",1426297,Chords,novice,Db, 2nd fret, E A D G B E
Passenger,Let Her Go ,352,1425660,Chords,intermediate,Db, 7th fret, E A D G B E
Mark Ronson,Uptown Funk,296,1424939,Chords,intermediate, Dm,No Capo, E A D G B E
Green Day,Holiday ,949,1424614,Tab,intermediate,Db,No Capo, E A D G B 
Rachel Platten,Fight Song,"1,581",1424478,Chords,novice, G,No Capo, E A D G B E
ZZ Top,Legs,18,1424065,Tab,intermediate,Db,No Capo,E A D G B E
Paramore,Misery Business ,640,1422616,Chords,intermediate,Db, 1st fret, E A D G B E
Milow,Ayo Technology,151,1422145,Chords,novice,Db, 7th fret, E A D G B E
Neil Young,Unplugged Album,17,1422094,Chords,intermediate,Db,No Capo,E A D G B E
Sting,Shape Of My Heart Acoustic,444,1421271,Tab,intermediate, F#m,No Capo, E A D G B E
Vance Joy,Riptide,"2,552",1420729,Chords,novice, Bbm, 6th fret, E A D G B E
Bill Withers,Lean On Me,78,1419838,Bass,intermediate,Db,No Capo,E A D G B E
Tom Petty,Free Fallin ,"1,881",1420041,Chords,novice, D, 3rd fret, E A D G B E
Young MC,Bust A Move,29,1418099,Bass,intermediate,Db,No Capo,E A D G B E
ZZ Top,Tush,29,1416815,Bass,intermediate,Db,No Capo,E A D G B E
ZZ Top,Gimme All Your Lovin,28,1416394,Bass,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,The Greatest Showman - This Is Me,"1,287",1415916,Chords,intermediate, D,No Capo, E A D G B E
Guns N' Roses,Dont Cry ,"1,419",1414794,Chords,novice,Db,No Capo, Eb Ab Db Gb Bb E
Of Monsters and Men,Dirty Paws,"1,414",1413299,Chords,intermediate,Db, 3rd fret, E A D G B E
Neil Young,Heart Of Gold,31,1412704,Bass,intermediate,Db,No Capo,E A D G B E
Maroon 5,Wont Go Home Without You,705,1412739,Chords,intermediate,Db, 3rd fret, E A D G B E
Chris Tomlin,Shout To The Lord,"1,031",1412827,Chords,intermediate, A, 5th fret, E A D G B E
ZZ Top,Tube Snake Boogie,26,1412186,Tab,intermediate,Db,No Capo,E A D G B E
Elton John,Your Song ,"1,502",1408793,Chords,intermediate,Db, 1st fret, E A D G B E
ZZ Top,My Heads In Mississippi Intro,14,1408236,Tab,intermediate,Db,No Capo, E A D G B 
Naif,Benci Untuk Mencinta,210,1407330,Chords,intermediate, D,No Capo, E A D G B E
Katy Perry,Teenage Dream,298,1406945,Chords,intermediate,Db, 3rd fret, E A D G B E
ZZ Top,Beer Drinkers And Hell Raisers,23,1406368,Chords,intermediate,Db,No Capo,E A D G B E
Weezer,Weezer Album,9,1406306,Tab,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,Mission Impossible 2 - Nyah,7,1406081,Tab,intermediate,Db,No Capo, E A D G B 
Radiohead,Fake Plastic Trees ,"2,448",1406413,Chords,intermediate, A,No Capo, E A D G B E
Yes,Long Distance Runaround,17,1405613,Bass,intermediate,Db,No Capo,E A D G B E
